org;lum;agg;int;atm;col;com;dep;catr;infra;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;situ;ttue;tbg;tbl;tindm;typenumero;numero;distancemetre;libellevoie;coderivoli;grav;gps;lat;long;adr;numac;codeinsee;geoflamatch;nbimplique
5;1;7;3;1;6;4;60;4;0;0;0;;0;2;1;0;0;1;1;1;0;1;1;1;;;;;;11.23;;;;;384591;6004;O;3
5;1;6;1;1;3;27;60;4;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;8;0;CHENES AVENUE DES;;11.23;;;;;384592;6027;O;3
5;1;6;1;1;2;27;60;4;0;0;0;;2;4;;;0;1;1;1;0;1;1;0;1;16;0;PLAGE BOULEVARD DE LA;;11.23;;;;;384593;6027;O;2
5;2;6;1;1;6;30;60;4;0;0;0;;2;3;;;0;1;1;1;0;1;1;0;1;52;0;CAMPELIERES (CHEMIN DES);;11.23;;;;;384594;6030;O;2
5;1;7;1;1;6;29;60;2;0;0;0;;2;4;;;0;1;1;1;0;1;1;1;9;0;0;CARNOT (BOULEVARD);;11.23;;;;;384595;6029;O;3
5;1;7;1;8;3;29;60;4;0;0;0;;3;5;;;0;1;1;1;0;1;1;1;9;0;0;COUVERTURE VOIE FERREE;;11.23;;;;;384596;6029;O;3
5;5;5;1;1;6;104;60;2;0;0;0;;2;2;;;0;2;3;4;0;1;1;1;1;190;0;VERDUN (AVENUE DE, N° 131 ET +);;11.23;;;;;384597;6104;O;3
5;1;9;1;1;6;88;60;4;0;0;0;;2;3;;;0;1;1;1;0;1;1;0;1;112;0;SAINT-LAMBERT (AV.) (A PARTIR DU N° 131);;11.23;;;;;384598;6088;O;2
1;1;1;1;1;1;161;60;4;0;0;0;;2;0;0;0;0;1;3;1;0;1;1;1;;;;;;11.23;;0;0;;384599;6161;O;3
5;1;7;3;1;3;4;60;3;5;0;0;;2;3;1;0;0;1;1;1;0;1;1;1;0;;0;GRASSE RTE DE;;11.23;;;;;384600;6004;O;3
5;1;7;1;1;3;4;60;4;0;0;0;;3;2;;;0;1;1;1;0;1;1;1;2;;0;NOVEMBRE 11 AVE;;11.23;;;;;384601;6004;O;3
5;1;7;1;1;6;4;60;3;0;0;0;;3;3;1;0;0;1;1;1;0;1;1;0;0;;0;RD6007;;11.23;;;;;384602;6004;O;2
5;5;9;1;1;5;88;60;3;0;0;0;;2;2;;;0;3;2;1;0;1;1;3;1;75;0;CARNOT (BD);;11.23;;;;;384603;6088;O;5
5;1;7;1;1;1;4;60;4;0;0;0;;2;0;1;0;0;1;3;0;0;1;1;1;0;;0;MICHARD PELISSIER AV.JEAN;;11.23;;;;;384604;6004;O;3
5;1;7;1;1;6;4;60;2;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;;0;CANNES(RN.7) AV.DE;;11.23;;;;;384605;6004;O;3
5;1;7;1;1;6;4;60;4;0;0;0;;2;2;1;0;0;2;1;0;0;1;1;1;0;;0;QUATRE CHEMINS CH.DES;;11.23;;;;;384606;6004;O;3
5;5;7;3;1;3;29;60;2;0;0;0;;2;2;;;0;1;1;1;0;1;1;0;1;0;0;TONNER (AVENUE FRANCIS);;11.23;;;;;384607;6029;O;2
5;1;6;1;1;6;69;60;3;0;0;0;;2;2;0;200;0;1;1;1;0;1;1;1;0;;0;PEGOMAS (ROUTE DE);;11.23;;;;;384608;6069;O;3
5;4;6;1;1;3;69;60;3;0;0;0;;2;2;;;0;2;1;1;0;1;1;1;1;1;0;DE LATTRE DE TASSIGNY (AVENUE DU MARECHA;;11.23;;;;;384609;6069;O;3
5;1;6;3;1;3;69;60;3;0;0;0;;2;2;;;0;2;1;0;0;1;1;1;1;2;0;AUTRANT (BOULEVARD DU CDT);;11.23;;;;;384610;6069;O;3
5;1;9;1;1;6;88;60;3;0;0;0;;3;4;;;3;1;1;1;0;1;1;0;1;0;0;ANGLAIS (DU N° 265 AU N° 350);;11.23;;;;;384611;6088;O;2
5;5;9;2;1;6;88;60;4;0;0;0;;1;1;;;3;1;1;1;0;1;1;1;1;0;0;TONDUTI-DE-L'ESCARENE (R.);;11.23;;;;;384612;6088;O;3
5;5;9;1;1;6;88;60;4;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;296;0;TURIN (RTE DE);;11.23;;;;;384613;6088;O;3
5;5;9;3;1;3;88;60;4;0;0;0;;0;2;;;3;1;1;1;0;1;1;0;1;23;0;THIERS (AV.);;11.23;;;;;384614;6088;O;2
5;1;9;1;1;6;88;60;4;0;0;0;;2;2;;;0;2;4;1;0;1;1;2;1;22;0;VALLON-DE-BARLA (AV.);;11.23;;;;;384615;6088;O;4
5;1;9;2;1;6;88;60;4;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;0;0;SAINT-LAMBERT (AV.) (A PARTIR DU N° 131);;11.23;;;;;384616;6088;O;3
