org;lum;agg;int;atm;col;com;dep;catr;infra;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;situ;ttue;tbg;tbl;tindm;typenumero;numero;distancemetre;libellevoie;coderivoli;grav;gps;lat;long;adr;numac;codeinsee;geoflamatch;nbimplique
5;1;6;3;1;2;83;60;4;0;0;0;;1;1;1;0;0;1;1;1;0;1;1;0;0;;0;MAGENTA (RUE, N° 1 A 3);;11.23;;;;;384702;6083;O;2
5;1;7;5;1;3;4;60;3;5;0;0;;1;1;1;0;0;2;1;1;0;1;1;1;0;;0;SADI CARNOT RUE;;11.23;;;;;384703;6004;O;3
5;5;7;3;1;7;4;60;2;5;0;0;;3;2;1;0;0;1;1;1;0;1;1;0;0;;0;NICE(RN.7) AV.ET RTE DE;;11.23;;;;;384704;6004;O;2
5;1;7;6;2;3;4;60;4;5;0;0;;1;1;1;0;0;4;0;1;0;1;1;1;0;;0;COMBES CH.DES;;11.23;;;;;384705;6004;O;3
5;5;6;2;1;3;27;60;4;5;0;0;;3;2;;;0;1;1;1;0;1;1;1;2;;0;NICE AVENUE DE (RN7);;11.23;;;;;384706;6027;O;3
5;1;6;1;9;6;30;60;9;0;0;0;;2;2;;;0;1;1;1;0;1;1;0;9;0;0;SADI CARNOT (BOULEVARD);;11.23;;;;;384707;6030;O;2
5;5;7;1;1;7;29;60;4;0;0;0;;2;2;;;0;1;1;1;0;1;1;0;1;297;0;GRASSE (AVENUE DE);;11.23;;;;;384708;6029;O;2
5;5;5;1;1;5;104;60;2;0;0;0;;2;2;;;0;1;3;1;0;1;1;1;1;24;0;FRANCE (AVENUE DE);;11.23;;;;;384709;6104;O;3
5;1;9;1;1;6;88;60;4;0;0;0;;2;2;;;0;1;1;1;0;1;1;1;1;22;0;QUAI LUNEL;;11.23;;;;;384710;6088;O;3
5;5;9;2;1;3;88;60;4;0;0;0;;1;1;;;0;1;1;1;0;1;1;1;1;0;0;GUTENBERG (R.);;11.23;;;;;384711;6088;O;3
